item_id,item_name,product_code
60607,10ft Charger,100000
99312,16cm Fry Pan,100001
56698,16z CN Minute Maid Aguas Frescas Hibiscus,100002
56699,16z CN Minute Maid Aguas Frescas Strawberry,100003
56359,18floz Bai Costa Rica Clementine,100004
220095,1more C.c Wafer Roll Pkt,100005
103723,24k Eye Contour Gel 20 G,100006
101016,24k Gold Soap 80 GM,100007
251905,24k Pure Pink For Women Perfume 100 ML,100008
228343,2fun Banana Wafer,100009
14470,2fun Banana Wafer Biscuit 180 GM BD,100010
138695,2fun Milk Wafer Biscuit,100011
14471,2fun Milk Wafer Biscuit 180 GM BD,100012
14518,2fun Strawberry Wafer Biscuit 204 GM,100013
60097,2hoots Hard Ice Tea 24 OZ,100014
248760,2n2 Women Pretty ED Parfum 100 ML,100015
42416,2P Piece,100016
271166,2wood Edt 50 ML,100017
112757,3D Bread Shape Eraser,100018
113033,3D Bresting Ball,100019
74635,3D Bursting Ball 10 G,100020
63524,3D Bursting Jelly Ball 1 Pcs,100021
65380,3D Bursting Jelly Ball 1 Piece,100022
52390,3D Cartoon Car,100023
52453,3D Emoji Sticker Big 1 Piece,100024
95557,3D Exam Board,100025
109091,3D Fighter Jeep,100026
95585,3D File (bag),100027
52393,3D Helicopter Toy,100028
95283,3D Papos,100029
109087,3D Police Car Rechargeable,100030
99139,3D Round Papos,100031
109096,3D Sports Deluxe Car Rechargeable,100032
276347,3D Sticker 1 Piece,100033
166835,3D Topper,100034
112382,3D Wall Hook,100035
59237,3mg Nicotine Wintergreen,100036
109509,3P Carpet,100037
260566,3W Clinic All Flv.a.shine Lip Gloss 8 ML,100038
75805,3W Clinic Avocado Cleansing Foan 100 ML,100039
260520,3W Clinic BB Cream Sun Block 50 ML,100040
75802,3W Clinic Collagen Cleansing Foan 100 ML,100041
75640,3W Clinic Crystal White Cream 50 GM,100042
103577,3W Clinic Intnsive Green Tea Sunblock Cream 70 ML,100043
103578,3W Clinic Intnsive UV Sunblock Cream 7 ML,100044
260524,3W Clinic Olive Man Fresh Emulsion 150 ML,100045
260518,3W Clinic P.c.scrub F.clean Snail 180 ML,100046
260522,3W Clinic Snail Mucus A.w.eye Cream 30 ML,100047
75806,3W Clinic White Truffle Cleansing Foan 100 ML,100048
32000,3x3 Sticky Notes,100049
59263,4K Blueberry,100050
59216,4K Green Sweet,100051
59251,4K Platinum UN S,100052
59252,4k's Cherry Pine,100053
59256,4k's Green Sweet,100054
59257,4k's Pink Lemona,100055
59258,4k's Unsweet,100056
59269,4K Sweet,100057
59270,4K Water Melon,100058
59264,4kings French Vanila 15 4,100059
59265,4kings Green Sweet 15 4 1,100060
59268,4kings Napa Grape 15 4 1.,100061
190644,4kq Red Day,100062
59260,4ks Blueberry Wrap,100063
59253,4ks Cigarillos B,100064
59259,4ks Sweet Delicious Wrap,100065
59261,4ks Watermelon Wraps,100066
55825,4pk. Monster Ult,100067
74201,4xl Love Teddy Bear,100068
74191,4xl Teddy Bear,100069
89735,5hour Extra Grp,100070
88774,5hr Extra Berry,100071
88842,5hr Extra Blrasp,100072
109436,5hr Extra Cherry,100073
88418,5hr Extra Watermel,100074
58056,5hr Tropical Burst Extra Str.,100075
118344,5layer Disposable Mask 1 Pair,100076
