item_id,item_name,product_code
60607,10ft Charger,100000
99312,16cm Fry Pan,100001
56698,16z CN Minute Maid Aguas Frescas Hibiscus,100002
56699,16z CN Minute Maid Aguas Frescas Strawberry,100003
56359,18floz Bai Costa Rica Clementine,100004
220095,  C.c Wafer Roll Pkt,100005
14433,  Chocolate Egg Rolls 480 G MY,100006
14434,  Strawberry Egg Rolls 480 G MY,100007
103723,24k Eye Contour Gel 20 G,100008
101016,24k Gold Soap 80 GM,100009
251905,24k Pure Pink For Women Perfume 100 ML,100010
228343,2fun Banana Wafer,100011
14470,2fun Banana Wafer Biscuit 180 GM BD,100012
138695,2fun Milk Wafer Biscuit,100013
14471,2fun Milk Wafer Biscuit 180 GM BD,100014
14518,2fun Strawberry Wafer Biscuit 204 GM,100015
60097,2hoots Hard Ice Tea 24 OZ,100016
248760,2n2 Women Pretty ED Parfum 100 ML,100017
42416,2P Piece,100018
271166,2wood Edt 50 ML,100019
112757,3D Bread Shape Eraser,100020
113033,3D Bresting Ball,100021
74635,3D Bursting Ball 10 G,100022
63524,3D Bursting Jelly Ball 1 Pcs,100023
65380,3D Bursting Jelly Ball 1 Piece,100024
52390,3D Cartoon Car,100025
52453,3D Emoji Sticker Big 1 Piece,100026
95557,3D Exam Board,100027
109091,3D Fighter Jeep,100028
95585,3D File (bag),100029
52393,3D Helicopter Toy,100030
95283,3D Papos,100031
109087,3D Police Car Rechargeable,100032
99139,3D Round Papos,100033
109096,3D Sports Deluxe Car Rechargeable,100034
276347,3D Sticker 1 Piece,100035
166835,3D Topper,100036
112382,3D Wall Hook,100037
59237,3mg Nicotine Wintergreen,100038
109509,3P Carpet,100039
260566,3W Clinic All Flv.a.shine Lip Gloss 8 ML,100040
75805,3W Clinic Avocado Cleansing Foan 100 ML,100041
260520,3W Clinic BB Cream Sun Block 50 ML,100042
75802,3W Clinic Collagen Cleansing Foan 100 ML,100043
75640,3W Clinic Crystal White Cream 50 GM,100044
103577,3W Clinic Intnsive Green Tea Sunblock Cream 70 ML,100045
103578,3W Clinic Intnsive UV Sunblock Cream 7 ML,100046
260524,3W Clinic Olive Man Fresh Emulsion 150 ML,100047
260518,3W Clinic P.c.scrub F.clean Snail 180 ML,100048
260522,3W Clinic Snail Mucus A.w.eye Cream 30 ML,100049
75806,3W Clinic White Truffle Cleansing Foan 100 ML,100050
32000,3x3 Sticky Notes,100051
59263,4K Blueberry,100052
59216,4K Green Sweet,100053
59251,4K Platinum UN S,100054
59252,4k's Cherry Pine,100055
59256,4k's Green Sweet,100056
59257,4k's Pink Lemona,100057
59258,4k's Unsweet,100058
59269,4K Sweet,100059
59270,4K Water Melon,100060
59264,4kings French Vanila 15 4,100061
59265,4kings Green Sweet 15 4 1,100062
59268,4kings Napa Grape 15 4 1.,100063
190644,4kq Red Day,100064
59260,4ks Blueberry Wrap,100065
59253,4ks Cigarillos B,100066
59259,4ks Sweet Delicious Wrap,100067
59261,4ks Watermelon Wraps,100068
55825,4pk. Monster Ult,100069
74201,4xl Love Teddy Bear,100070
74191,4xl Teddy Bear,100071
89735,5hour Extra Grp,100072
88774,5hr Extra Berry,100073
88842,5hr Extra Blrasp,100074
109436,5hr Extra Cherry,100075
88418,5hr Extra Watermel,100076
