order_id,basket_size,total_quantity_in_basket
ORD002432,9,12.0
ORD002462,12,18.81
ORD002463,11,11.96
ORD002464,20,24.1
ORD002479,11,17.0
ORD002620,3,3.0
ORD002626,17,22.0
ORD002630,10,13.0
ORD002631,8,9.0
ORD002632,16,22.0
ORD002634,10,10.41
ORD002635,12,16.0
ORD002636,20,26.0
ORD002637,4,5.0
ORD002638,13,19.33
ORD002657,4,4.0
ORD002658,8,9.0
ORD002659,3,3.0
ORD002660,4,6.0
ORD002661,26,31.0
ORD002729,2,3.0
ORD002730,3,4.0
ORD002744,5,5.0
ORD002745,8,16.0
ORD002746,8,8.33
ORD002747,7,8.0
ORD002748,3,3.0
ORD002750,16,21.12
ORD002751,14,17.0
ORD002752,9,16.56
ORD002753,5,9.0
ORD002797,21,26.51
ORD002798,10,13.0
ORD002799,3,5.0
ORD002800,14,15.85
ORD002801,16,25.0
ORD002802,21,31.0
ORD002817,4,5.0
ORD002829,4,7.17
ORD002830,1,0.55
ORD002831,3,2.53
ORD002832,6,8.0
ORD002833,4,4.0
ORD002834,4,4.83
ORD002869,2,2.0
ORD002870,23,36.92
ORD002872,16,20.42
ORD002916,3,3.8
ORD002918,7,8.38
ORD002920,2,3.0
ORD002921,3,4.0
ORD002922,2,3.5
ORD002923,13,21.5
ORD002924,3,5.0
ORD002925,12,11.19
ORD002926,7,10.09
ORD002927,1,2.0
ORD002928,14,20.85
ORD002929,4,5.0
ORD002930,3,4.0
ORD002972,6,6.97
ORD002973,7,11.48
ORD002974,10,12.0
ORD002976,6,6.0
ORD003019,1,2.0
ORD003021,2,2.0
ORD003150,6,7.0
ORD003155,2,6.0
ORD003156,6,6.0
ORD003157,2,2.0
ORD003158,4,6.0
ORD003159,5,8.68
ORD003198,3,3.34
ORD003200,5,7.78
ORD003202,2,4.45
ORD003203,3,3.0
ORD003204,9,12.0
ORD003246,4,4.01
ORD003247,1,1.0
ORD003248,1,1.0
ORD003249,1,1.0
ORD003250,6,7.0
ORD003253,1,1.0
ORD003255,2,2.0
ORD003256,2,4.0
ORD003317,11,11.0
ORD003384,2,2.0
ORD003385,2,2.0
ORD003386,2,2.0
ORD003403,10,13.0
ORD003438,8,8.0
ORD003453,6,6.57
ORD003456,14,14.39
ORD003457,8,7.13
ORD003566,5,5.0
ORD003567,7,6.48
ORD003571,4,4.72
ORD003572,2,2.0
ORD003573,6,7.24
ORD003574,10,10.26
ORD003575,7,5.45
ORD003638,2,2.0
ORD003639,11,12.0
ORD003640,3,3.0
ORD003641,6,6.0
ORD003642,1,4.0
ORD003643,5,5.0
ORD003646,1,1.0
ORD003647,3,5.0
ORD003650,2,3.0
ORD003651,1,1.0
ORD003652,5,7.0
ORD003654,2,3.0
ORD003655,4,7.0
ORD003656,4,5.0
ORD003658,3,5.0
ORD003661,2,3.0
ORD003662,3,5.0
ORD003663,4,8.0
ORD003664,2,3.0
ORD003669,3,5.02
ORD003670,3,3.0
ORD003671,3,3.97
ORD003761,2,2.0
ORD003840,4,6.0
ORD003914,3,7.1
ORD004140,1,1.0
ORD004216,2,4.35
ORD005026,3,4.0
ORD005120,3,2.66
ORD005252,9,14.67
ORD005253,7,10.0
ORD005961,2,2.0
