itemName,category
10 Bowl,E
10 Colour Pen -05,STA
"10"" Double Color Coup Plate",E
7 Up-1Ltr(Pet),E
7 in One Hair Oil Almond-200ml,E
7Up 2Ltr,E
ACI Aerosol 350ml,E
ACI Aerosol 475ml,E
ACI Aerosol 800ml,E
ACI Aerosol-250ml,E
ACI Freedom Sanitary Napkin-15pads,E
ACI Nutrilife F.E Rice Bran Oil-5ltr,E
ACI Pure Biryani Masala B2 G1-40g,SPI
ACI Pure Chinigura Rice-1Kg,E
ACI Pure Halim Mix B2 G1-100g,SPI
ACI Pure Kabab Masala B2 G1-50g,SPI
ACI Pure Minicate Rice-5kg,E
ACI Pure Salt-1Kg,E
ACI Salt Bottle-750g,E
AD Faber Castell Pencil HB/2B -1pis,STA
AD Osaka PVC Tape--61,STA
AD Plastic File Bag-012,STA
AD Ring Khata -300 Pages,STA
AD University Khata-160page,STA
AG Chicken Meat Ball Spicy-250g,E
AG Chicken Sausage Plain-340gn,E
AG Chicken Spicy Nuggets-250g,E
AG French Fries-500g,E
AG Jumbo Vegetable Singara 10p-400g,E
AG Mini Chicken Singara-300g,E
AG Mini Chicken Spring Roll-250g,E
AG Plain Paratha C.P -650g (10pcs),E
AG Plain Paratha F. P-1300g (20pcs),E
AG Real Mayonnalse 473 ml,AG
AG Red Wheat Rooti-800g,E
AG Spicy Chicken Sausages-340g,E
AG Vegetable Spring Roll-400g,E
AJI-No-Moto Tasting Salt-42g,E
AMA 3in1 Coffee-6Pcs (combo),COF
AS Baby Dropper Feeding Device,E
AS Breast Feeling Milk,E
AS Liquid Silicone Pacifier,E
AS PP Feeding Bottle-150ml,E
Aafi Mango Drink-1 Ltr Pet,E
Aaram Orange Juice- 1L,E
Aarong Butter Salted-100gm,E
Aarong Cheese Cubes Classic-120g,E
Aarong Cheezarella Cheese-200gm,E
Aarong Ghee 200g,E
Aarong Laban-250ml,E
Aarong Laban-500ml,E
Aarong Liquid Milk-1/2Ltr,E
Aarong Low Fat Yoghurt-500gm,E
Aarong Matha-200ml,E
Aarong Pasteurized Premium Milk-1Ltr,E
Aarong Pasturized FC Milk 1000ml,E
Aarong Pasturized Liquid Milk-1Ltr Reg.,E
Aarong Probiotic Yogurt-500gm,E
Aarong Sliced Cheese Classic- 204g,E
Aarong Sliced Cheese Peri Peri-204g,E
Aarong Sliced Cheese Pizza-204g,E
Aarong Sour Yogurt-500gm,E
Aarong Sweet Yogurt-500gm,E
Aarong Yogurt Sour Curd-500gm,E
Aci Pure Aromatic Rice 2kg,E
Aci Pure Atta 2kg,E
Aci Pure Maida -2kg,E
Aci Pure Mustard Oil 1000ml,E
Aci Salt-100mg (Bottle),E
Act II Butter Delite-70g,E
Adorsho Lipi Book- 02,STA
Aer Spray Cool- 270ml,E
Aer Spray Fresh- 270ml,E
Aer Spray Morning - 220ml,E
Aer Violet Air Freshner- 240ml,E
Agar- Agar -25gm,CNF
Ahmed Tomato Hot Sauce-340g,E
Ahmed White Vinegar-250ml,E
Air Wick Citrus Splash-50gm,E
Akher Sugar -1kg,E
Akher Sugar -2kg,SUG
Akrut--50g,SPI
Al Shafi Natural Honey Jar-250g,E
Al- Ans SUGAI Dates kg-(Loose),AL-
Al- Ans Safavi Sp Dates-500gm,AL-
Al-Ansar Sukkaria Dates- kg(Loose),AL-ANSAR
Alam Baby Dress-031,BDR
Alam Baby Dress-09,BDR
Alam Baby Frock-013,BDR
Alfa Mayonnaise-236.5ml,MCC
Alfa Mayonnaise-473ml,MCC
All Time Milk Bread- 300gm,BAK
All Time Sandwich Bread- 600gm,E
Almarai Cream Cheese - 200gm,MCC
Almas Pray Tupi- 06,TEX
Almas Tupi-07,TEX
Aloe Vera Hair Oil 250ml,E
Alovera,ALOVERA
Alu Bukhra-100g,SPI
Alu Bukhra-200gm,SPI
Aluminium Foil Container 12pcs-510ml,E
Alupuri,ALUPURI
Ambition Tooth brush,E
Amloki,AMLOKI
Amon Rice -Kg (Lose),AMON
Amra(kg),AMRA(KG)
Amul Cool Kesar Flavour 180ml,BEV
Amul Dark Chocolate-150g,CHO
Amul Kool Kesar FLV-150ml,JUC
Amul Kool Kesar-180ml,JUC
Amul Milk Chocolate- 40gm,CHO
Angelic Air Fresh-300ml G/V,E
Angelic Air Fresh-300ml Sparkling,E
Angelic Fresh 300ml(Citrus),E
Angelic Fresh 300ml(Orchid Breeze),E
Apple Fuji,APPLE
Apple Fuji Big,APPLE
Apple Green,APPLE
Apple(Gala),APPLE(GALA)
Aquafina Drinking Water- 500ml,E
Aquafina Drinking Water-1Ltr,E
Arla Dano Daily Pushti-1kg,E
Arla Dano Daily Pushti-200gm Pack,E
Arla Dano Daily Pushti-500gm,E
Arla Full Cream Milk 3.5%-1Ltr,E
Arla Sandwich Slice- 200gm,E
Arong Milk Powder IFCMP-500gm,E
Arong UHT FC Milk-200ml (Fino),E
Arrow Toothbrush,E
Aseel Veg Ghee-500,OIL
Asif Bicycle Towel-24x48,TEX
Asli Almol Kali Mehndi,COS
Assorted DSGN Scarf Pin-PSAP 1pcs,ORN
Atlas BMW Long Umbrella-083,GFT
Austogram Mozzarella Cheese-250gm,AUSTOGRAM
Austrogram Cheese,AUSTROGRAM
Avonee Diaper XXL (14-25Kg)-4pcs,E
Ayesha Gas Lighter -56,KHA
Ayir Fish (Big)-(HB),AYIR
Ayir Fish (Medium )-(HB),AYIR
Ayir Fish (Small)-(HB),AYIR
Azoa Dates-500gm,AZOA
Azoa Dates-kg(Loose),AZOA
B Toilet Tissue Extra Saving Pack 4Rolls,E
B.B Tazza Black Tea -400g,E
B.Paper Napkin (Perfumed)-80Pcs,E
BD Butter Toast Biscuit- 250gm,E
BD Chilli Powder (100gm),E
BD Chilli Sauce- (360gm),E
BD Chilli Sauce- 1000g,E
BD Dry Cake Biscuit-300g,E
BD Food Chanachur(280gm),E
BD Food Hot/Jhal Chanacur-300gm,E
BD Garam Masla-50gm,E
BD Haleem Mix(175g),E
BD Ispaghula-45gm,E
BD Kheer Mix-150g,E
BD Roast Masala - 35gm,E
BD Tomato Sauce-340gm,E
BD Turmeric Powder(200gm),E
BD White Vinegar- 650ml,E
BD White Vinegar-300ml,E
BE Coffee Nut- 200gm,BE
BE Peanut White- 200g,BE
BE Till Naru- 15Pcs,BE
BFL Aluminium Foil 5 Miter,E
BFL Foil Container 6pcs-510ml,E
BTC Birthday Cap KomDami-51,GFT
BTC Foyel Birthday Benner-031,GFT
Baby Cherie Cotton Buds-100pcs,BAB
Baby Corn(Fesh),BABY
Baby Plate- UMC002,PLA
Baby S. Wide Neck Nipple AB-202MF2BC,E
Baby Sipper Cup Mom Pot:AB-301001WB,E
Bacha Boot Pulse 1Kg,PUL
Bactrol Liquid Hand Wash-200ml,E
Bajaj Almond Drops Hair Oil-100ml (BD),E
Bakemans Choco Boost-250gm,E
Bakemans Glaze-200gm,E
Bakemans Lexus Biscuit-58gm,E
Bakemans Ovaltine Biscuit-80gm,CNF
Bakemans Ovaltine Biscuts-250gm,E
Bakemans Saltice Biscuit-50gm,E
Balachaw Hot & Spicy Fry Shrimp- 250g,CNF
Banana Green Small-kg,BANANA
Banana Mocha-Pc,BANANA
Banana(Sagor),BANANA(SAGOR)
Bangi Small- Kg,BANGI
Baoma Mosquito Coil (Lemon),INS
Baqarah Pasteurized Milk- 1L,E
Barchun Oyster Sauce-350ml,CNF
Bari-4 Mango,BARI-4
Barley Arrarot-200mg,DTR
Barley Arrarot-400mg,DTR
Barley For Eating-200gm,HLT
Bas. Kitchen Towels 1Roll,E
Bashu Facial Tissue 240Sheet,E
Bashu. Toilet Tissue (White),E
Bashun Paper Towel - 250Pcs,E
Bashun Paper Towel 1Ply- 250Pcs,E
Bashundhara Atta-2kg,E
Bashundhara Brown Atta-1kg,E
Bashundhara F Soyabean Oil-5L,E
Bashundhara F/W Facial Tissue- 240Sheet,E
Bashundhara Gold Toilet Tissue,E
Bashundhara Khata P-BOU(K)-124 Pages,E
Bashundhara Khata P-M-SPI-204 Pages,E
Bashundhara Maida-2kg,E
Bashundhara Paper Napkin-100p,E
Bashundhara SoftToilet Tissue,E
Bashundhara Suji-500g,E
Bata Fish(Small),BATA
Batashi Fish (HB),BATASHI
Bath Sponge (Dhundul)-kg,BATH
Beef Bone Full,BEEF
Beef Italian Sausage 280gm,E
Beef Kima,BEEF
Beef Mini Samusa 250gm (Prem),BEEF
Beef Samusa,BEEF
Beef Tikia Kabab,CNF
Beef Tikka Kabab-10pcs,BEEF
Beef Without Bone Special,BEEF
Bele Fish (Big)-(MNK),BELE
Bele Fish Small,BELE
Belleame Choco Little Biscuit-45gm,E
Belleame Chocolate Fondue-180gm,E
Belleame Coconaoir-240gm,E
Belleame Cremo Biscuit- 90g,E
Belleame Digestive Biscuit- 135g,E
Belleame Dry Cake Biscuit-325gm,E
Belleame Golden Cremo Biscuit-90g,E
Belleame Toast Biscuit-250gm,E
Bengal Classic Tea- 200g (Black),E
Best Line Multi Plug -HT0034 021,EHA
Big Babol Gum-20gm,CHO
Binimoy Cartoon File -022,STA
Binimoy Cartoon File -051,STA
Binimoy Eraser-8,STA
Bio Active Goat Milk Soap-70g,TOL
Bio Active Lavello Lip Th-3.2g,COS
Biryani Scent-28ml,E
Biscuit Pizza -40gm,E
Bisk Club Potata Biscuit- 100g,E
Bisk Club Salty Salted Biscuit - 95g,E
Bismillah Hair Comb (Chiruni)- 02,ORN
Bit Salt Powder- 80g Bottle,E
Bitter Stick-50g(Cherota),HLT
Black Berry (Kalo Jam),BLACK
Black Cumin (Kalijira)-100gm,SPI
