itemA,itemB,co_purchase_count
Cucumber (Hybrid)-kg,Green Chilli(kg),5
Parboil (Potol)-kg,Snack Guard (Chichinga)-kg,5
Snack Guard (Chichinga)-kg,Sweet Pumpkin(kg),5
ACI Pure Salt-1Kg,Bashundhara Atta-2kg,4
Carrot (China)-kg,Green Chilli(kg),4
Garlic China Big-(kg),Mug Pulse (Sona)-1kg,4
Garlic China Big-(kg),Net Pumpkin (Jali Kumra)-Pc,4
Garlic China Big-(kg),Onion Deshi(New)-kg,4
Garlic China Big-(kg),Wheel 2in1 Clean & Fresh Powder-1Kg,4
Green Chilli(kg),Ladies Finger (Vendi)-kg,4
Ladies Finger (Vendi)-kg,Sweet Pumpkin(kg),4
Onion Deshi(New)-kg,Potato Deshi New-1kg,4
Vim Bar Lemon-125gm,Vim Dishwash Liquid- 250ml,4
ACI Pure Salt-1Kg,Akher Sugar -1kg,3
ACI Pure Salt-1Kg,Akher Sugar -2kg,3
ACI Pure Salt-1Kg,Cardmom-50gm(Alachi),3
ACI Pure Salt-1Kg,Chashi Aromatic Chinigura Rice-1Kg,3
ACI Pure Salt-1Kg,Cinnamon-100g (Daruchine),3
ACI Pure Salt-1Kg,Diploma Milk Powder-500g,3
ACI Pure Salt-1Kg,Prince Cone Mehedi,3
ACI Pure Salt-1Kg,Teer Sugar-1Kg,3
ACI Pure Salt-1Kg,Usta(kg),3
ACI Pure Salt-1Kg,Wheel 2in1 Clean & Fresh Powder-1Kg,3
Akher Sugar -1kg,Bashundhara F Soyabean Oil-5L,3
Akher Sugar -1kg,Milk Vita (Ghee)-200g,3
Akher Sugar -1kg,Mug Pulse (Sona)-1kg,3
Akher Sugar -1kg,Teer Atta 2kg,3
Akher Sugar -1kg,Vim Bar 300g (Lemon),3
Akher Sugar -2kg,Golden Raisin (Kismis)-200gm,3
Akher Sugar -2kg,Pop Corn(Khai Bhutta)-500gm,3
Akher Sugar -2kg,Radhuni Biriyani Masala-40g,3
Alu Bukhra-100g,Golden Raising-100gm(Kismis),3
Bashundhara Atta-2kg,Musur Pulse Kangaroo -1Kg (sp),3
Borboti(kg),Carrot (China)-kg,3
Borboti(kg),Tomato L.C(kg),3
Brinjal Oval ( Tal Begun ) -kg,Cucumber (Hybrid)-kg,3
Brinjal Oval ( Tal Begun ) -kg,Green Chilli(kg),3
Cabbage-Pc,Carrot (China)-kg,3
Cabbage-Pc,Green Chilli(kg),3
Cabbage-Pc,Sweet Pumpkin(kg),3
Carrot (China)-kg,Cucumber (Hybrid)-kg,3
Carrot (China)-kg,Mug Pulse (Sona)-1kg,3
Carrot (China)-kg,Tomato L.C(kg),3
Cauliflower(B)-Pc,Green Papaya(kg),3
Chia Seed (Dana) New-100g,Kolson Vermicelli-200g,3
Chia Seed (Dana) New-100g,Vim Bar 300g (Lemon),3
Chicken Deshi (Pakistani) Cock,Onion Deshi(New)-kg,3
China Jhilmil Majuni (4/23),Wheel 2in1 Clean & Fresh Powder-1Kg,3
Chira-500g,Wheel 2in1 Clean & Fresh Powder-1Kg,3
Cock Roast (Deshi)-PC,Sweet Pumpkin(kg),3
Cock Roast (Deshi)-PC,Vim Bar Lemon-125gm,3
Cucumber (Hybrid)-kg,Green Papaya(kg),3
Cucumber (Hybrid)-kg,Sweet Pumpkin(kg),3
Garlic China Big-(kg),Ginger Barmiz-(Kg),3
Garlic China Big-(kg),Green Chilli(kg),3
Garlic China Big-(kg),Potato Deshi New-1kg,3
Garlic China Big-(kg),Vim Bar Lemon-125gm,3
Ginger Barmiz-(Kg),Green Chilli(kg),3
Ginger Barmiz-(Kg),Onion Deshi(New)-kg,3
Ginger Barmiz-(Kg),Potato Deshi New-1kg,3
Green Chilli(kg),Green Papaya(kg),3
Green Chilli(kg),Mug Pulse (Sona)-1kg,3
Green Chilli(kg),Onion Deshi(New)-kg,3
Green Chilli(kg),Onion LC New,3
Green Chilli(kg),Shrimp Fish Bagda,3
Gulsha Fish(Small)-(HB),Shrimp Fish Bagda,3
Hot Mug,Tawa,3
Jafran,Piller,3
Kolson Macarony-200gm All Flv.,Maggi Noodles Masala Taste-496g,3
Ladies Finger (Vendi)-kg,Potato Deshi New-1kg,3
Ladies Finger (Vendi)-kg,Usta(kg),3
Lassa Special Semai-500g(Pkt),Prince Lacha Samai-200g(Pkt),3
Lati Thik(Kg),Usta(kg),3
Lux Velvent Glow Jasmine Soap-100gm,Rin Advanced-1000gm,3
Maggi Masala Noodles 12Pcs-744g,Wheel 2in1 Clean & Fresh Powder-1Kg,3
Mug Pulse (Sona)-1kg,Musur Pulse Kangaroo -1Kg (sp),3
Mug Pulse (Sona)-1kg,Onion LC New,3
Musur Pulse Kangaroo -1Kg (sp),Wheel 2in1 Clean & Fresh Powder-1Kg,3
Net Pumpkin (Jali Kumra)-Pc,Usta(kg),3
Parboil (Potol)-kg,Sweet Pumpkin(kg),3
Parboil (Potol)-kg,Usta(kg),3
Potato Deshi New-1kg,Sweet Pumpkin(kg),3
Potato Deshi New-1kg,Usta(kg),3
Potato Deshi New-1kg,Wheel 2in1 Clean & Fresh Powder-1Kg,3
Prince Bread(Suger Free)-400g,Prince Plain Cake(B),3
