rank,itemName,purchase_count,total_quantity
1,Akher Sugar -1kg,32,57.0
2,Beef Bone Full,28,53.15
3,ACI Pure Salt-1Kg,25,38.0
4,Green Chilli(kg),25,8.82
5,Prince Bread(Special)-400g,22,35.0
6,Wheel 2in1 Clean & Fresh Powder-1Kg,21,29.0
7,Shrimp Fish Bagda,21,24.97
8,Musur Pulse Kangaroo -1Kg (sp),19,29.0
9,Prince Lacha Samai-200g(Pkt),19,26.0
10,Tomato L.C(kg),18,11.84
11,Usta(kg),18,9.24
12,Milk Vita Liquid Milk-1Ltr,17,38.0
13,Teer Sugar-1Kg,17,30.0
14,Ladies Finger (Vendi)-kg,17,15.19
15,Onion Deshi(New)-kg,16,44.07
16,Vermicelli Samai-200gm,16,27.0
17,Parboil (Potol)-kg,16,20.35
18,Sweet Pumpkin(kg),16,17.27
19,Vim Bar Lemon-125gm,15,38.0
20,Chicken (B-Skin Less),15,25.27
21,Apple(Gala),15,21.86
22,Garlic China Big-(kg),15,18.77
23,Mug Pulse (Sona)-1kg,14,20.0
24,Chicken Deshi (Pakistani) Cock,13,32.0
25,Teer Atta 2kg,13,25.0
26,Snack Guard (Chichinga)-kg,13,10.94
27,Carrot (China)-kg,13,6.69
28,Bashundhara Atta-2kg,12,22.0
29,Akher Sugar -2kg,12,16.0
30,Net Pumpkin (Jali Kumra)-Pc,12,14.0
31,Chia Seed (Dana) New-100g,12,12.0
32,Potato Deshi New-1kg,11,30.49
33,Vim Bar 300g (Lemon),11,20.0
34,Radhuni Biriyani Masala-40g,11,16.0
35,Hilsha Fish Big-(MNK)-Pcs,11,15.0
36,Lassa Special Semai-500g(Pkt),11,14.0
37,Coca Cola-2.25Lt(Pet),11,12.0
38,Cucumber (Hybrid)-kg,11,9.76
39,Grapes (Red),11,7.03
40,Capsicum Green,11,2.56
41,Cow Stomach-K,10,19.81
42,Kolson Macarony-200gm All Flv.,10,17.0
43,Snickers Chocolate-50gm,10,17.0
44,Pran Aromatic Rice-2kg,10,15.0
45,Laitta Fish,10,14.91
46,Green Papaya(kg),10,14.74
47,Bashundhara Paper Napkin-100p,10,14.0
48,Sunsilk conditioner Perfect Straight-80m,10,14.0
49,Diploma Milk Powder-500g,10,13.0
50,Malta (Yellow)-kg,10,12.59
51,Cardmom-50gm(Alachi),10,12.0
52,Cinnamon-100g (Daruchine),10,12.0
53,Musur Pulse Deshi-1Kg,10,12.0
54,Apple Green,10,11.74
55,Cucumber Deshi (kg),10,10.62
56,Naspati(kg),10,9.71
57,Ginger Barmiz-(Kg),10,9.22
58,Borboti(kg),10,6.89
59,Cock Roast (Deshi)-PC,9,22.0
60,Rui Fish-M-(MNK),9,21.2
61,Kolson Vermicelli-200g,9,18.0
62,Jafran,9,16.0
63,Fresh Refined Sugar-1000gm,9,13.0
64,Cabbage-Pc,9,12.0
65,Shrimp Fish Small (THR),9,10.07
66,Cauliflower(B)-Pc,9,10.0
67,Mola Fish (THR),9,9.79
68,Lati Thik(Kg),9,7.75
69,Pomegranate (Mitulla)-B,9,7.44
70,Kachki Fish (THR),9,4.64
71,Grape White Small (IIndian),9,4.22
72,Chashi Aromatic Chinigura Rice-1Kg,8,20.0
73,Wheel Laundry Soap 125g,8,19.0
74,Mutton (Special)-Kg,8,18.11
75,Vim Dishwash Liquid- 250ml,8,16.0
76,Buldak Noodles (All),8,14.0
77,Bottle Guard Big(Lau)-Pc,8,13.0
78,Chicken (Deshi),8,12.04
79,Maggi Noodles Masala Taste-496g,8,12.0
80,Pabda Fish (Small) (HB),8,9.65
81,Tengra Fish,8,9.09
82,Aquafina Drinking Water- 500ml,8,9.0
83,Golden Raisin (Kismis)-200gm,8,9.0
84,Prince Dubli Pulse-1kg,8,9.0
85,Prince Sour Curd-500gm,8,9.0
86,Cassia Leaf-100gm (Tespata),8,8.0
87,Apple Fuji,8,7.73
88,Cow Lever-K,8,7.39
89,Poa Fish Small-(Deshi),8,6.4
90,Thai Papaya Ripe Red Lady,8,6.37
91,Brinjal Oval ( Tal Begun ) -kg,8,5.53
92,Onion LC New,7,18.02
93,Special Chinigura Rice-1Kg,7,15.0
94,Hot Pran Tomato Sauce-500gm,7,11.0
95,Shing Fish-(THR),7,11.0
96,Dragon Fruits (B),7,10.79
97,Rin Advanced-1000gm,7,10.0
98,Aarong Ghee 200g,7,9.0
99,Bele Fish Small,7,9.0
100,Easy Mix Roast Masala-35g,7,9.0
101,Milk Vita (Ghee)-200g,7,9.0
102,Prince Ovaltin Cake(B),7,9.0
103,Quality Premiun Paratha 20Pcs-1300g,7,9.0
104,Shole Fish Big (THR),7,8.96
105,B Toilet Tissue Extra Saving Pack 4Rolls,7,8.0
106,Coriander Leaf Pcs-100gm,7,8.0
107,Mirzapore Best Leaf Tea-400g,7,8.0
108,Pepsodent Gremichek+ Toothpaste-100gm,7,8.0
109,Eye Of Arum(Tall) (Kachurmukhi)-kg,7,7.81
110,Brinjal Long (Thin)-kg,7,7.52
111,Aarong Yogurt Sour Curd-500gm,7,7.0
112,Doodles Stick Noodles-300gm,7,7.0
113,Nescafe Classic Jar-25gm,7,7.0
114,Pusti Soyabean Oil-5Ltr,7,7.0
115,Radhuni Spices (Corinder)-100gm,7,7.0
116,Gulsha Fish(Small)-(HB),7,5.91
117,Chicken Deshi Cock (Live),6,16.0
118,Chira-500g,6,12.0
119,Tibet Ball Soap-130g,6,12.0
120,Mango Himsagor-kg,6,11.59
121,Rui Fish (S1)-(MNK),6,11.3
122,Prince Cone Mehedi,6,11.0
123,Prince Tiffin Bon,6,11.0
124,Aarong Pasturized FC Milk 1000ml,6,10.0
125,Chocolate Digestive 145gm,6,10.0
126,Kaveri Mehendi Cone 2pcs -25g,6,10.0
127,Bashun Paper Towel 1Ply- 250Pcs,6,9.0
128,Lifebuoy Liquid Total Hand Wash-170ml,6,9.0
129,Bacha Boot Pulse 1Kg,6,8.0
130,Bashundhara F Soyabean Oil-5L,6,8.0
131,Calender Pineapple,6,8.0
132,Golden Raising-100gm(Kismis),6,8.0
133,Lux Jasmine & Vitamin E Soap-150g,6,8.0
134,Mixed Masalla-100gm,6,8.0
135,Mr.Energy Biscuits-85gm,6,8.0
136,Prince Coconut-(pcs),6,8.0
137,Brinjal (Oval) Big-kg,6,7.14
138,Bas. Kitchen Towels 1Roll,6,7.0
139,Black Pepper(Chili)-50g,6,7.0
140,Boot Pulse(Broken)1Kg,6,7.0
141,Confidence Salt-1Kg,6,7.0
