order_id,itemName,value
ORD002432,Hubba Bubba Mega Gum-56gm,1
ORD002432,KurKure Cream & Onion 37gm,1
ORD002432,Maggi Saad -E -Magic S Mix-48g,1
ORD002432,Mentos Fruit Flavour,1
ORD002432,Nestle KitKat White Chocolate-41.5g,1
ORD002432,RFL Trim Square Container 200ml- Trans,1
ORD002432,Sun Chips Garlic & Chili 38g,1
ORD002432,Sun Prawn Crackers Chips - 20gm,1
ORD002432,Zess Cheese Cracker-153gm,1
ORD002464,ACI Pure Salt-1Kg,1
ORD002464,Ayir Fish (Small)-(HB),1
ORD002464,Bashundhara Atta-2kg,1
ORD002464,Chicken (Deshi),1
ORD002464,Cumin-200gm,1
ORD002464,Fresh Soyabean Oil-1Lt.,1
ORD002464,Ginger Barmiz-(Kg),1
ORD002464,Gulsha Fish(Small)-(HB),1
ORD002464,Jhinga(kg),1
ORD002464,Ladies Finger (Vendi)-kg,1
ORD002464,M & M Gems Chocolate - 45g,1
ORD002464,Pabda Fish (Small) (HB),1
ORD002464,Parboil (Potol)-kg,1
ORD002464,Potato Deshi New-1kg,1
ORD002464,Potato Jam,1
ORD002464,Shrimp Fish Bagda,1
ORD002464,Tatkini Fish River(HB),1
ORD002464,Tomato L.C(kg),1
ORD002464,Usta(kg),1
ORD002464,Vangon Fish(Big),1
ORD002463,Arla Dano Daily Pushti-500gm,1
ORD002463,Beef Bone Full,1
ORD002463,Beef Without Bone Special,1
ORD002463,Belleame Dry Cake Biscuit-325gm,1
ORD002463,Brinjal (Oval) Big-kg,1
ORD002463,Coca Cola-2.25Lt(Pet),1
ORD002463,Dan Cake-Tiramisu Plain Cake 360gm,1
ORD002463,Energy Plus Biscuit - 62gm,1
ORD002463,Oreo Choco Cream Biscuits-120gm,1
ORD002463,Oreo Original Biscuits- 46.3/50gm,1
ORD002463,Seylon Family Blend Tea-200g,1
ORD002479,Amul Kool Kesar-180ml,1
ORD002479,Angelic Air Fresh-300ml Sparkling,1
ORD002479,Bounce Choco Cream Biscuits-32gm,1
ORD002479,Cumin Powder-100gm,1
ORD002479,Egg & Chicken Masala Noodles FG (Egg),1
ORD002479,Fresh Ins. Noodles Masala (B2G1)-496gm,1
ORD002479,Fresh Salt Premium-1kg,1
ORD002479,Milk Vita Liquid Milk-1Ltr,1
ORD002479,Prince Sour Curd-500gm,1
ORD002479,Rin Advanced-2kg,1
ORD002479,Sajeed ChocoMoo Chocolet-135g,1
ORD002626,Akher Sugar -1kg,1
ORD002626,Chanachur(Special)-350gm,1
ORD002626,Cocola Egg Noodles-170g,1
ORD002626,Coconut Powder (Cake Decoration)-50g,1
ORD002626,Egg & Chicken Masala Noodles FG (Egg),1
ORD002626,Fresh Fun Fill (Chocolate) Biscuits-44g,1
ORD002626,G. Naturals Bargundy-20ml,1
ORD002626,Marks Cookies & Cream Flavour - 200ml,1
ORD002626,Marks Milk Shake AS-200ml,1
ORD002626,Milk Vita Butter-200g,1
ORD002626,Nescafe Classic Coffee-50gm,1
ORD002626,Olympic Energy Plus Malai Bis-45gm,1
ORD002626,Olympic Salcoti Elachi Cookies-80gm,1
ORD002626,Prince Square Toast-250gm,1
ORD002626,radhuni custard powder,1
ORD002626,Rupchanda Soya-1Ltr(PET),1
ORD002626,Surf Excel With Aloe Vera wash-500g,1
ORD002630,AJI-No-Moto Tasting Salt-42g,1
ORD002630,Chia Seed (Dana) New-100g,1
ORD002630,China Foam Majuni (4/23),1
ORD002630,Dal Puri-454gm,1
ORD002630,F Clarks Ess 28ml(Vanilla),1
ORD002630,Knorr Chicken Hot & Sour Soup- 28g,1
ORD002630,Knorr Thai Soup- 28g,1
ORD002630,Maggi Vegetable Soup 4Pcs-25gm,1
ORD002630,Oreo Choco Creme Biscuits-43.75g,1
ORD002630,Ruchi Chanachur Hot-150gm,1
ORD002636,Akher Sugar -2kg,1
ORD002636,BD Chilli Powder (100gm),1
ORD002636,BD Haleem Mix(175g),1
ORD002636,BD Kheer Mix-150g,1
ORD002636,BD Turmeric Powder(200gm),1
ORD002636,China Punch Clip(05/23),1
ORD002636,Coriender-200gm,1
ORD002636,Danish Condensed Milk-397gm,1
ORD002636,Dano Instant -500g Pack,1
ORD002636,Dried Chilli-200gPkt,1
ORD002636,Hot Pran Tomato Sauce-500gm,1
ORD002636,Kaveri Mehendi Cone 2pcs -25g,1
ORD002636,Lassa Special Semai-500g(Pkt),1
ORD002636,Misti Sob-100gm,1
ORD002636,Prince Coconut-(pcs),1
ORD002636,Prince Sour Curd-500gm,1
ORD002636,Ramdhoni-50gm,1
ORD002636,Revival Karak Masala Chai -200g,1
ORD002636,Special Chinigura Rice-1Kg,1
ORD002636,White Kazu Badam-50g,1
ORD002632,Aarong Butter Salted-100gm,1
ORD002632,Funtastic Backmans Glaze Biscuit-40gm,1
ORD002632,Ispahani Butterful Biscuit- 75g,1
ORD002632,Kolson Macarony-200gm All Flv.,1
ORD002632,Lichu Pitha Box-200gm,1
ORD002632,Maggi Noodles Masala Blast-252g 4Pack,1
ORD002632,Mountain Dew-600ml Pet,1
ORD002632,Mr.Cookie- 39gm Small,1
ORD002632,NAJ baby Toast Biscuits -300gm,1
ORD002632,Nankhatai Biscuit-200g,1
ORD002632,Pran Dhaka Cheese-200gm,1
ORD002632,Prince Lacha Samai-200g(Pkt),1
ORD002632,Prince Special Chanachur-150gm,1
ORD002632,Starship FCMP-500gm (F.Pack),1
ORD002632,Vegetable Roll,1
ORD002632,Yum Muffin Cake,1
ORD002638,Arong UHT FC Milk-200ml (Fino),1
ORD002638,Belleame Digestive Biscuit- 135g,1
ORD002638,CBL Munchee Nice Biscuit-230g (Premium),1
ORD002638,Chicken Deshi (Pakistani) Cock,1
ORD002638,China Basin Brush (4/23),1
ORD002638,Danish Dry Cake Biscuits-350gm,1
ORD002638,Jet Classic Detergent -1000gm Ploy,1
ORD002638,Kishwan Ovaltin Biscuits-350gm,1
ORD002638,Pangas Fish-(Deshi),1
