order_id,customerId,orderDate,month,day_of_week,hour,has_time_component
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002620,1931,25/06/2023,6,Sunday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002637,1938,15/07/2023,7,Saturday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002746,1956,05/06/2023,6,Monday,0,0
ORD002747,1956,08/06/2023,6,Thursday,0,0
ORD002752,1956,07/08/2023,8,Monday,0,0
ORD002752,1956,07/08/2023,8,Monday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002753,1956,12/08/2023,8,Saturday,0,0
ORD002745,1956,24/05/2023,5,Wednesday,0,0
ORD002746,1956,05/06/2023,6,Monday,0,0
ORD002748,1956,16/06/2023,6,Friday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002657,1939,21/04/2023,4,Friday,0,0
ORD002658,1939,10/05/2023,5,Wednesday,0,0
ORD002657,1939,21/04/2023,4,Friday,0,0
ORD002729,1953,05/12/2023,12,Tuesday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002753,1956,12/08/2023,8,Saturday,0,0
ORD002753,1956,12/08/2023,8,Saturday,0,0
ORD002745,1956,24/05/2023,5,Wednesday,0,0
ORD002752,1956,07/08/2023,8,Monday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002745,1956,24/05/2023,5,Wednesday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002657,1939,21/04/2023,4,Friday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002657,1939,21/04/2023,4,Friday,0,0
ORD002658,1939,10/05/2023,5,Wednesday,0,0
ORD002658,1939,10/05/2023,5,Wednesday,0,0
ORD002730,1953,21/12/2023,12,Thursday,0,0
ORD002729,1953,05/12/2023,12,Tuesday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002752,1956,07/08/2023,8,Monday,0,0
ORD002747,1956,08/06/2023,6,Thursday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002744,1956,11/05/2023,5,Thursday,0,0
ORD002748,1956,16/06/2023,6,Friday,0,0
ORD002744,1956,11/05/2023,5,Thursday,0,0
ORD002748,1956,16/06/2023,6,Friday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002747,1956,08/06/2023,6,Thursday,0,0
ORD002800,1963,13/07/2023,7,Thursday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002800,1963,13/07/2023,7,Thursday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002479,1893,27/06/2023,6,Tuesday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002635,1938,18/06/2023,6,Sunday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002637,1938,15/07/2023,7,Saturday,0,0
ORD002631,1938,20/04/2023,4,Thursday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002659,1939,17/05/2023,5,Wednesday,0,0
ORD002659,1939,17/05/2023,5,Wednesday,0,0
ORD002658,1939,10/05/2023,5,Wednesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002658,1939,10/05/2023,5,Wednesday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002747,1956,08/06/2023,6,Thursday,0,0
ORD002746,1956,05/06/2023,6,Monday,0,0
ORD002750,1956,23/06/2023,6,Friday,0,0
ORD002745,1956,24/05/2023,5,Wednesday,0,0
ORD002744,1956,11/05/2023,5,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002799,1963,12/07/2023,7,Wednesday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002799,1963,12/07/2023,7,Wednesday,0,0
ORD002432,1875,19/04/2023,4,Wednesday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002462,1890,29/04/2023,4,Saturday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002464,1890,04/06/2023,6,Sunday,0,0
ORD002463,1890,01/05/2023,5,Monday,0,0
ORD002620,1931,25/06/2023,6,Sunday,0,0
ORD002620,1931,25/06/2023,6,Sunday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002626,1935,20/04/2023,4,Thursday,0,0
ORD002630,1937,21/07/2023,7,Friday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002638,1938,12/08/2023,8,Saturday,0,0
ORD002636,1938,27/06/2023,6,Tuesday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002634,1938,09/06/2023,6,Friday,0,0
ORD002632,1938,30/04/2023,4,Sunday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002798,1963,11/07/2023,7,Tuesday,0,0
ORD002798,1963,11/07/2023,7,Tuesday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002802,1963,13/08/2023,8,Sunday,0,0
ORD002800,1963,13/07/2023,7,Thursday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002800,1963,13/07/2023,7,Thursday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002801,1963,11/08/2023,8,Friday,0,0
ORD002797,1963,04/05/2023,5,Thursday,0,0
ORD002800,1963,13/07/2023,7,Thursday,0,0
ORD002802,1963,13/08/2023,8,Sunday,0,0
ORD002637,1938,15/07/2023,7,Saturday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002660,1939,11/06/2023,6,Sunday,0,0
ORD002660,1939,11/06/2023,6,Sunday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002661,1939,27/06/2023,6,Tuesday,0,0
ORD002730,1953,21/12/2023,12,Thursday,0,0
ORD002730,1953,21/12/2023,12,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002751,1956,27/07/2023,7,Thursday,0,0
ORD002746,1956,05/06/2023,6,Monday,0,0
